,Opponent,Result,Game Details
0,Point,W 59-0,Aug 31 (Sat) 6 PM ESPN+
1,Kent State,L 23-26 (OT),Sep 7 (Sat) 12 PM ESPN3
2,Alabama State,W 42-7,Sep 14 (Sat) 6 PM ET 
3,Missouri State,W 35-24,Sep 21 (Sat) 3 PM ET ESPN+
4,Reinhardt,W 31-7,Sep 28 (Sat) 6 PM ESPN+
5,Charleston Southern,W 45-23,Oct 12 (Sat) 3 PM ESPN3
6,Presbyterian,W 55-10,Oct 19 (Sat) 2:30 PM ESPN+
7,North Alabama,W 41-17,Oct 26 (Sat) 3 PM ESPN3
8,Monmouth,L 21-45,Nov 2 (Sat) 2 PM ESPN3
9,Campbell,W 38-35,Nov 9 (Sat) 1 PM ESPN+
10,Hampton,W 50-7,Nov 16 (Sat) 1 PM ESPN+
11,Gardner-Webb,W 42-14,Nov 23 (Sat) 2 PM ESPN+
12,#11 Wofford,W 28-21,Nov 30 (Sat) 4:00 PM ESPN3
13,#3 Weber State,L 20-26,Dec 7 (Sat) 3 PM (EST) ESPN3
